"","Year","Product.line","Product.type","Product","Order.method.type","Retailer.country","Revenue","Planned.revenue","Product.cost","Quantity","Unit.cost","Unit.price","Gross.profit","Unit.sale.price"
"1",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Telephone","United States",315044.33,437477.15,158371.76,66385,2.55285714,6.59,156672.57,5.19571429
"2",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Telephone","Canada",13444.68,14313.48,6298.8,2172,2.9,6.59,7145.88,6.19
"5",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Telephone","Japan",181120.24,235236.64,89413.06,35696,2.657,6.59,91707.18,5.488
"7",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Telephone","China",69608.15,100200.95,35326.25,15205,2.495,6.59,34281.9,5.04
"8",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Telephone","Singapore",30940.35,51619.47,16370.97,7833,2.09,6.59,14569.38,3.95
"10",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Telephone","Netherlands",74321.18,94421.52,36531.63,14328,2.6975,6.59,37789.55,5.585
"11",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Telephone","Sweden",18474.15,30821.43,9774.93,4677,2.09,6.59,8699.22,3.95
"12",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Telephone","Finland",80890.34,117236.1,41021.31,17790,2.495,6.59,39869.03,5.07
"13",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Telephone","Denmark",31746.7,33325.63,14665.3,5057,2.9,6.59,17081.4,6.28333333
"14",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Telephone","France",103244.26,138113.22,51200.76,20958,2.63,6.59,52043.5,5.44333333
"16",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Telephone","United Kingdom",160227.13,220995.65,80307.11,33535,2.576,6.59,79920.02,5.27
"19",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Telephone","Austria",67179.39,85399.81,32490.25,12959,2.6975,6.59,34689.14,5.75
"22",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","United States",181287.73,222735.41,88348.13,33799,2.72,6.59,92939.6,5.65222222
"24",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Mexico",133617.26,169942.92,65215.05,25788,2.72,6.59,68402.21,5.72333333
"27",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Korea",186696.56,238492.1,91891.37,36190,2.6975,6.59,94805.19,5.585
"29",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Singapore",118193.46,161665.88,59183.15,24532,2.576,6.59,59010.31,5.258
"33",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Finland",72891.83,78361.69,34483.9,11891,2.9,6.59,38407.93,6.13
"34",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Denmark",12469.92,13127.28,5776.8,1992,2.9,6.59,6693.12,6.26
"35",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","France",96009.15,114692.36,46306.58,17404,2.765,6.59,49702.57,5.80833333
"36",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Germany",137602.28,169692.5,66847.97,25750,2.72,6.59,70754.31,5.69444444
"37",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","United Kingdom",11637.34,12250.81,5391.1,1859,2.9,6.59,6246.24,6.26
"38",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Belgium",12843.9,13245.9,5829,2010,2.9,6.59,7014.9,6.39
"41",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Italy",103089.33,131865.9,50526.78,20010,2.66857143,6.59,52562.55,5.55142857
"42",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Sales visit","Spain",13036.14,13878.54,6107.4,2106,2.9,6.59,6928.74,6.19
"43",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","United States",340867.26,407123.61,164590.44,61779,2.7785,6.59,176276.82,5.838
"44",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Canada",138986.22,171649.73,67560.23,26047,2.72,6.59,71425.99,5.68666667
"45",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Mexico",20358.3,33964.86,10771.86,5154,2.09,6.59,9586.44,3.95
"46",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Brazil",120190.31,156433.42,58980.88,23738,2.63,6.59,61209.43,5.47444444
"47",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Japan",64370.58,81860.98,31495.9,12422,2.6975,6.59,32874.68,5.63
"48",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Korea",74254.93,98184.41,36862.37,14899,2.63,6.59,37392.56,5.40333333
"49",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","China",278106.13,348446.25,136239.21,52875,2.72,6.59,141866.92,5.64555556
"50",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Singapore",17421.46,18728.78,8241.8,2842,2.9,6.59,9179.66,6.13
"52",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Netherlands",96692.34,115918.1,46776.32,17590,2.765,6.59,49916.02,5.78666667
"53",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Sweden",49298.46,63224.46,24049.62,9594,2.6975,6.59,25248.84,5.6825
"54",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Finland",78856.6,100537.04,38794.34,15256,2.6975,6.59,40062.26,5.585
"55",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Denmark",30853.1,44093.69,15535.34,6691,2.495,6.59,15317.76,5.105
"56",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","France",91818.01,121196.69,45272.78,18391,2.63,6.59,46545.23,5.46666667
"57",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Germany",70482.18,74427.46,32752.6,11294,2.9,6.59,37729.58,6.24833333
"58",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","United Kingdom",168290.41,199446.35,80612.15,30265,2.77538462,6.59,87678.26,5.87769231
"59",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Belgium",42871.8,56911.24,20957.14,8636,2.59625,6.59,21914.66,5.475
"61",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Austria",36562.75,45022.88,17574.77,6832,2.6975,6.59,18987.98,5.7175
"62",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Italy",12875.2,13707.2,6032,2080,2.9,6.59,6843.2,6.19
"63",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Web","Spain",108368.09,127219.95,51868.89,19305,2.79875,6.59,56499.2,5.9275
"65",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Special","Canada",38011.56,40337.39,17750.9,6121,2.9,6.59,20260.66,6.21333333
"66",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Special","Mexico",26152.75,27842.75,12252.5,4225,2.9,6.59,13900.25,6.19
"68",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Special","Japan",13234.22,14089.42,6200.2,2138,2.9,6.59,7034.02,6.19
"70",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Special","China",28198,30314,13340,4600,2.9,6.59,14858,6.13
"80",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Special","Belgium",5489.01,5660.81,2491.1,859,2.9,6.59,2997.91,6.39
"85",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Mail","United States",48205.04,68628.26,24392.09,10414,2.495,6.59,23812.95,5.04
"89",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Mail","Japan",13884.17,14781.37,6504.7,2243,2.9,6.59,7379.47,6.19
"90",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Mail","Korea",20909.43,22478.49,9891.9,3411,2.9,6.59,11017.53,6.13
"94",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Mail","Netherlands",18592.65,31019.13,9837.63,4707,2.09,6.59,8755.02,3.95
"98",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Mail","France",42909.66,56726.72,21169.16,8608,2.63,6.59,21740.5,5.46666667
"105",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Mail","Spain",14010.65,23374.73,7413.23,3547,2.09,6.59,6597.42,3.95
"107",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","E-mail","Canada",147265.42,168769.9,70010.02,25610,2.82636364,6.59,77255.4,6.01181818
"110",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","E-mail","Japan",72181.72,91521.92,35412.77,13888,2.6975,6.59,36768.95,5.6
"115",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","E-mail","Netherlands",15846.05,17035.15,7496.5,2585,2.9,6.59,8349.55,6.13
"116",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","E-mail","Sweden",12807.11,13634.71,6000.1,2069,2.9,6.59,6807.01,6.19
